"","polygon","SSP1_2030","SSP1_2050","SSP1_2100","SSP2_2030","SSP2_2050","SSP2_2100","SSP3_2030","SSP3_2050","SSP3_2100"
"1",3,0.574823336504839,0.280163820977277,0.154166498303254,0.992164765609613,0.258318975273463,0.0710696100315624,1.09025281173549,0.434230591008618,0.0248254904821793
"2",4,1.06686451068452,0.94659112155576,1.00696027494546,1.01619376459245,1.14708550872002,0.990833248271801,0.983176724352601,1.09602952108483,0.343468673610495
"3",10,0.999489504362533,0.914933894500748,0.616322402821911,0.978282462136536,0.951069085467061,0.516183283629856,0.987184322515504,1.01284477766444,0.303105102265249
"4",11,0.84927610117837,0.593783016057625,0.317731220899185,0.885579934613862,0.619011661953308,0.309159286351536,0.93411653961203,0.699995281082502,0.234613672529962
"5",18,0.708264163249358,0.198475565140706,0.0118504743133388,0.572961101560899,0.198758861381906,0.0110191071090642,0.865190087592,0.472891124708163,0.00212683788422954
"6",21,0.861390738970559,0.572246491075603,0.176536317746104,0.796381554169612,0.582783997265753,0.135280229647191,0.819614829536599,0.64721739702807,0.0763847701940484
"7",22,0.852477630730182,0.971437755063483,1.73323005932781,0.654978610516012,0.920741508757507,0.557300953818862,0.665960905002867,0.584486225113996,0.0918996871010809
"8",24,0.83007550300279,1.2143111028453,4.26208078026364,0.60302191436715,0.828267311950353,3.46139620334405,0.658370107369929,0.491562416234308,0.273398427769633
"9",26,0.780738568781765,0.648403296589825,0.589525844871465,0.656824645737492,0.564432365150724,0.35442993502577,0.673448582878286,0.494733797694977,0.0279807911654594
"10",29,1.35624701492386,1.29430573284154,1.404124191324,1.02618323344812,1.58276649025784,0.912747210759121,1.10925452386938,1.74569669875323,0.421036120203512
"11",30,0.99566711326196,0.609515458042872,0.332899593546208,0.890030781348684,0.569071965196674,0.254392551782742,0.994100500377589,0.781859711588091,0.172864829221575
"12",39,1.01126396189984,0.887813033087318,0.40647898196182,0.900604454974218,0.901879461094934,0.310897641454193,0.999283624063903,1.05020364600322,0.157869104990468
"13",40,1.15492200244473,1.21456718589212,0.815044844479815,1.03787760731872,1.13497679963405,0.734703888891061,1.10413935063126,1.43236945008957,0.465656528050041
"14",43,1.00039974718613,1.13303451017271,1.46002276490324,0.819275818362777,1.20751493481229,0.382761997437668,0.807609756999131,0.820518241515162,0.0746388732449713
"15",44,0.930888943291743,1.24258403964228,1.40854255835814,0.783846233429458,1.11188639745875,1.20506740744219,0.82349081984049,0.855986056571591,0.343212569897818
"16",49,1.16882955645522,0.82942385016744,0.861640517449885,0.780379217709065,0.84743720473347,0.134519003740957,1.08437165235927,1.156198223092,0.0666993410875202
"17",50,1.03888763141113,0.43753894812838,0.444727026565271,0.697929688740398,0.528195380252913,0.383406154543644,1.02050524623597,0.682310008480927,0.166564690125208
"18",54,1.07611240825455,0.46251634637757,0.414399333550992,0.985871209442451,1.59530577947851,0.219484965466302,0.949632016036198,0.788053180016497,0.0127777269951079
"19",55,1.06334819451582,1.08679389729962,0.561529769445629,0.87636385449028,1.56064923247836,0.38987319116027,0.913222452579244,1.22747025941909,0.0472602025790631
"20",58,1.03254522974913,1.14168733295921,0.785754339889421,0.980486131986727,1.17434487304435,0.493489997331347,0.982734253670261,1.09460266283705,0.288911734887414
"21",63,0.929734894465758,0.644259543749905,0.193003528547197,0.943402066344846,0.631676095452866,0.171231373294628,0.925964019537476,0.751988307144813,0.150481528059864
"22",64,1.22500006753177,1.22848987709917,0.530809122712293,0.880011276147146,0.79031666412468,0.178810586509156,1.08524234354581,1.10637779836428,0.141796104222701
"23",67,0.981932635871025,0.457326569935384,0.194517590199966,0.941736192872977,0.606324337825719,0.155987531010874,0.957564067102106,0.68491977294046,0.125422695894088
"24",70,1.1734059262256,1.15161906004615,0.779311552729281,0.960048067797754,1.33285819440251,0.413036894583264,0.981552460069404,1.1907154256009,0.0826740509084411
"25",71,1.09935225228865,2.0664498458063,2.83429995894749,0.823195178428653,2.55194684533021,1.02641962261436,0.82889744866838,1.23177864873733,0.317591508981899
